target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank
RUL,GRU,ISU_ILCC,ISU_ILCC,1459.625403636507,5.399649631537948,1838.6237689711588,-11.670427632464984,0.5254432085698368,48,48,0.07575757575757575,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24
RUL,LSTM,HNEI,HNEI,26.967626228733824,0.3048113606095803,39.6406686923241,0.9827350690400162,0.9948699076865761,2,2,0.9375,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,1
RUL,LSTM,MICH,MICH,34.838122786762995,0.34681055608254224,40.086839126234835,0.9153303840425525,0.9936694317578889,8,8,0.8819444444444444,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,16,0.7736531776155875,2
RUL,LSTM,XJTU,XJTU,18.845329130190922,0.18833579478315543,22.892243510594305,0.8871359559687173,0.9818623043423649,4,4,0.875,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,3
RUL,LSTM,Stanford,Stanford,69.46615530867454,0.5991295981375451,79.02180763642816,0.9070541918733854,0.9915148949354889,8,8,0.7847222222222222,0.5858744512784766,0.7091253500485417,0.9158149683641564,0.8601016936787613,0.5,16,0.7872637044404648,4
RUL,LSTM,NAion2024,NA-ion,24.416863771541436,0.9569241336060343,26.314263762398546,0.5811242206611356,0.9902659561439962,5,5,0.7465277777777777,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,5
RUL,LSTM,RWTH,RWTH,132.40172365607157,0.7947447332979866,154.37149566629168,0.9341355389121713,0.9906214284224732,9,9,0.6875000000000001,0.7746738914812756,0.9225857205724362,0.960118702705342,0.9575677775661608,0.75,16,0.8974534572509262,6
RUL,LSTM,Stanford_2,Stanford_2,99.57665742525838,0.8906747394794512,112.247107437849,0.8216684725558364,0.9834165940199691,36,36,0.6701388888888888,0.5230818465703697,0.6322591983688142,0.8805076138120905,0.7991058035651912,0.3125,16,0.7342317546492172,7
RUL,LSTM,SDU,SDU,58.88877338390212,0.5927757706405623,75.13332937382191,0.6370104511534077,0.9356236526560626,17,17,0.6423611111111109,0.5412679884064729,0.7124474336053608,0.8780163231613252,0.8536691388160751,0.5,16,0.7576511501279578,8
RUL,LSTM,CALB42,CALB,24.8554851992058,2.171564127762327,28.702359325238923,-0.0006605319339137199,,5,5,0.6388888888888888,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,9
RUL,LSTM,MATR,MATR,116.81808481834372,0.46275537789029436,145.49112523919928,0.6527438188146066,0.9661133417625173,33,33,0.6215277777777778,0.4279950893325099,0.4579427450515766,0.85207575881162,0.7744419011376169,0.25,16,0.6848375830939156,10
RUL,LSTM,CALB2024,CALB,33.10869228612015,2.1500237989350603,39.14822208858422,-0.16795223501886555,,5,5,0.5833333333333333,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,11
