target,task,model,experiment,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_137,0.0115407721023075,0.0431295113412118,0.0009693590528401,0.031134531517917,0.6711375117301941,0.0046753435162827,0.989332677314546,0.9953582749370868,0.6711375117301941,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_141,0.0096494720807766,0.0133177066355545,0.0002183310725789,0.0147760303389975,0.1729040145874023,-0.0023652802718401,0.9956367328621604,0.9978798011094026,0.1473618447780609,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_143,0.0096014217459238,0.0133665007059906,0.0002235857525257,0.0149527841061721,0.1702765226364135,-0.0003727865906862,0.994045989983411,0.9971260963837968,0.0363557934761047,0.2807147133962279
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_149,0.0163231656051628,32.5304994259856,0.0008028576480082,0.0283347427729318,0.3284473121166229,0.012763433784439,0.9927139738703438,0.9971205836981616,0.1928254067897796,35163.842391304344
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_157,0.010446664183104,0.0137355954513812,0.0002953571150179,0.0171859569130706,0.1656845510005951,-0.000684178528491,0.9899956983790285,0.9949970531299884,0.1625014841556549,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_170,0.0136145904075865,0.0178567200495018,0.0005588185023412,0.0236393422569502,0.192830890417099,0.0096564765362178,0.9815131194754044,0.9931218756871,0.192830890417099,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_173,0.0156302779105864,0.0219778147101738,0.0004468999351629,0.0211400079272211,0.2989885210990906,0.0023430370638817,0.9920498831529494,0.996563455671574,0.006348580121994,0.0388062023468477
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_175,0.0134309743868338,0.0217154068398356,0.0006144101017143,0.0247872971845321,0.3428547382354736,0.0071038382439999,0.9905109826399786,0.99576214158479,0.1270141005516052,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_177,0.0162392666601901,0.0254937337014335,0.0004640056970656,0.0215407914679489,0.2691309154033661,-0.0038901975416903,0.9939004467295016,0.9972685797950144,0.0288768112659454,0.2304229821565438
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_184,0.0122753912066838,0.0157061818899486,0.0004457603997017,0.0211130386183919,0.3064556419849396,-0.0100337438913713,0.95602350858428,0.983844532857781,0.3064556419849396,1.314920469455844
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_191,0.0197133058950219,0.0276765562249612,0.000862111049208,0.0293617276264188,0.2825028598308563,0.0075863780250018,0.9818778540754328,0.9921825865716406,0.0734238624572753,0.4604836983796039
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_193,0.0199910553596658,0.0250817378838927,0.0017496601865112,0.0418289395814819,0.9082809686660768,0.0148692531456209,0.9125791604502852,0.9700264041014296,0.9082809686660768,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_196,0.0120013082168132,64.1568621010472,0.0005026261882746,0.0224193262225834,0.2672361731529236,0.0082746114533858,0.9828373460886828,0.9933678835798756,0.2672361731529236,59779.72
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_198,0.0203626017736376,0.02562994112841,0.0012773798894421,0.0357404517240925,0.3386218249797821,0.0133863317446326,0.9416996870741972,0.974822325792612,0.3386218249797821,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_201,0.0160962613350159,0.0556894135965957,0.0004623123258455,0.0215014493894154,0.238162100315094,-0.0042509635397607,0.9941248345071404,0.9978079477052636,0.0811158120632171,1.758097417042815
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_202,0.015631669560286,0.0221266412048764,0.0008146300274807,0.0285417243256394,0.255265474319458,0.0110926293716655,0.9851705339828882,0.9937504074967728,0.1422882080078125,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_204,0.0129584825681355,0.0158542466182844,0.0013561595427979,0.0368260715091627,0.9327442646026612,0.0090903983858531,0.9391131491566288,0.9736009228296733,0.9327442646026612,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_205,0.020854208148828,0.0225111555857515,0.0018597045166207,0.0431242914912324,1.0477663278579712,-0.0075312902231891,0.8829226659710526,0.9524101557881012,1.0477663278579712,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_207,0.0117231373873231,0.0721382763463613,0.0003578219588529,0.0189161824598127,0.2442236542701721,0.0096061168752644,0.9929629871531324,0.9973960978782248,0.219107449054718,61.66772353631941
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_209,0.0221375236588139,0.0713784186329357,0.0009760264359054,0.0312414217971181,0.3687039613723755,0.0067233945490653,0.989669559544263,0.9963244832805888,0.0803819894790649,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_212,0.0071026883759901,0.0098499635037248,0.0001716077083352,0.0130999125315881,0.1619098484516143,-0.0018139726190424,0.9943484082633676,0.9975303425023618,0.1619098484516143,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_213,0.0198171179668576,0.1391714148022588,0.0012672031432996,0.0355977968882856,0.4297223091125488,0.0180451152371425,0.9785576573028084,0.992037290265003,0.4297223091125488,112.78305487766724
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_219,0.01889320628313,0.027812690944454,0.000888856701652,0.0298136998987388,0.2242109775543213,0.012674624673791,0.9703384602489538,0.9924696980765128,0.2010194659233093,0.8624162815787637
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_221,0.0144537557267917,0.0705325248250239,0.0004514562400875,0.0212474996196616,0.2676439881324768,-0.002706286058111,0.9955228971324902,0.9983877551733088,0.0459950566291809,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_223,0.020340294622984,14.545720151512748,0.0005306586113059,0.0230360285489038,0.1516972780227661,-0.0174384772087821,0.98442796828431,0.9969316061492506,0.1516972780227661,15059.514792899408
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_224,0.0156246475350688,0.0289674694101732,0.0009111362955084,0.0301850342969565,0.7719972133636475,-0.002402939930768,0.9864910708431096,0.9936138793243546,0.7719972133636475,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_226,0.0235804022679514,0.0776365936166518,0.0008275837014537,0.028767754543129,0.3447520136833191,-0.0180000232942138,0.9921475931777316,0.9978749577075572,0.04227215051651,2.849773973841239
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_279,0.0136713171283558,16.600383917466605,0.0004474905286612,0.021153971935816,0.1905224621295929,-0.0017304304508847,0.9823579644140912,0.9930114973216356,0.1905224621295929,21309.576666666668
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_282,0.0121957633601522,0.0206195966406803,0.0004970347373294,0.0222942758870858,0.2417863011360168,0.0106594087663053,0.9916951263689396,0.9968266548270662,0.1216357052326202,3.4657594850718385
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_289,0.0149860094710052,0.0203088455636492,0.0004277886308416,0.0206830517777632,0.2045983672142028,-0.0019126937951862,0.9889298900953896,0.9945772597596318,0.0268168747425079,0.1193605751221163
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_292,0.0242034032794055,0.0283536772922731,0.0007607011273934,0.0275808108545315,0.1154543757438659,-0.0052032912232605,0.9113106194743272,0.983318850455045,0.0175387263298034,0.0298499362324345
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_294,0.0154900864888263,0.0219157548217464,0.0003868481673707,0.0196684561511753,0.1261825561523437,0.0013196839547071,0.991000296028556,0.995832094057724,0.1102128326892852,2.5171278517492
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_295,0.0167511077422016,0.0215575205269388,0.0005821017407925,0.0241267847172497,0.2341576814651489,-0.0041143025429743,0.9815678757725153,0.9910642555040738,0.2341576814651489,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_299,0.0179012687458812,0.0488843440232322,0.0006836650692598,0.026146989678735,0.2671356797218323,0.0024330941308122,0.991353017076963,0.9957174870406584,0.069962203502655,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_310,0.0203559357858057,0.026330043247872,0.0007780704444562,0.0278939141114366,0.2982336282730102,0.003632643972154,0.9727504539867864,0.986815395254533,0.1547823548316955,
